https://docs.google.com/spreadsheets/d/1WKfDrVcWOskZSHPhmuD6yrZ6Npr1AynOsBh7UwELvBg/edit?gid=61091455#gid=61091455,Property,Occupied ,Collections %,Month Outstanding,Total Outstanding,Eviction Risk,Lease Health,,,,
Sarah,1511 Sylvan Lane                                                                                                                                                ,75.0%,70.1%,$875.00,$978.75,0,100.00%,,,,
Sarah,3909 North Oakland Gravel Road                                                                                                                                                    ,66.7%,100.0%,$0.00,$0.00,0,75.00%,,,,
Sarah,407 Pecan Street                                                                                                                                                  ,80.0%,75.2%,$725.00,"$1,600.00",0,100.00%,,,,
Sarah,801-803 Washington Avenue                                                                                                                                                      ,100.0%,106.5%,-$90.40,-$90.40,0,100.00%,,,,
Sarah,811 South Fairview Road                                                                                                                                                    ,100.0%,100.0%,$0.00,$0.00,1,100.00%,,,,
Sarah,Glen Oaks ,88.9%,89.5%,"$2,814.69","$4,888.64",1,68.75%,,,,
Karen,Hilltop Townhomes ,76.5%,79.8%,"$6,045.94","$11,792.19",2,82.05%,,,,
Sam,Maple Manor Apartments                                                                                                                                             ,90.0%,91.8%,"$2,726.50","$3,753.43",0,72.22%,,,,
Karen,Normandy Apartments,95.5%,89.7%,"$1,648.52","$1,656.02",0,61.90%,,,,
Sam,Oakwood Gardens ,88.0%,95.1%,"$2,488.45","$8,014.90",1,61.36%,,,,
Sarah,Pioneer Apartments ,100.0%,100.7%,-$103.70,$297.10,0,86.67%,,,,
,,87.6%,91.7%,"$17,130.00","$32,890.63",5,73.73%,,,,
12/29/2025,,,,,,,,,,,
Sarah,,90.6%,100.9%,"-$1,039.81","$2,467.63",4,80.29%,,,,
Karen,,82.2%,89.5%,"$3,951.96","$9,501.96",2,79.21%,,,,
Sam,,88.9%,98.1%,"$1,129.20","$7,682.58",1,66.19%,,,,
Sarah,1511 Sylvan Lane                                                                                                                                                ,75.0%,70.1%,$875.00,"$1,048.75",0,100.00%,,,,
Sarah,3909 North Oakland Gravel Road                                                                                                                                                    ,66.7%,100.0%,$0.00,$0.00,0,75.00%,,,,
Sarah,407 Pecan Street                                                                                                                                                  ,80.0%,75.2%,$725.00,"$1,670.00",1,75.00%,,,,
Sarah,801-803 Washington Avenue                                                                                                                                                      ,100.0%,102.6%,-$36.64,-$36.64,0,100.00%,,,,
Sarah,811 South Fairview Road                                                                                                                                                    ,100.0%,150.0%,"-$1,200.00","-$1,200.00",1,100.00%,,,,
Sarah,Glen Oaks ,88.9%,96.0%,"$1,064.69","$3,138.64",1,75.00%,,,,
Karen,Hilltop Townhomes ,76.5%,83.7%,"$4,450.94","$10,000.94",2,84.62%,,,,
Sam,Maple Manor Apartments                                                                                                                                             ,90.0%,92.3%,"$2,554.50","$3,581.43",0,72.22%,,,,
Karen,Normandy Apartments,95.5%,103.1%,-$498.98,-$498.98,0,66.67%,,,,
Sam,Oakwood Gardens ,88.0%,102.8%,"-$1,425.30","$4,101.15",1,61.36%,,,,
Sarah,Pioneer Apartments ,100.0%,111.9%,"-$2,467.86","-$2,153.12",1,83.33%,,,,
,,87.6%,98.0%,"$4,041.35","$19,652.17",7,74.65%,,,,
12/30/2025,,,,,,,,,,,
Sarah,,91.8%,104.4%,"-$2,084.50",-$621.01,3,84.18%,,,,
Karen,,84.3%,98.9%,-$471.65,"$5,161.50",2,74.54%,,,,
Sam,,90.0%,93.3%,"$2,224.50","$3,251.43",0,72.22%,,,,
Sarah,1511 Sylvan Lane                                                                                                                                                ,75.0%,70.1%,$875.00,"$1,058.75",0,100.00%,,,,
Sarah,3909 North Oakland Gravel Road                                                                                                                                                    ,66.7%,100.0%,$0.00,$0.00,0,75.00%,,,,
Sarah,407 Pecan Street                                                                                                                                                  ,80.0%,75.2%,$725.00,"$1,680.00",1,75.00%,,,,
Sarah,801-803 Washington Avenue                                                                                                                                                      ,100.0%,102.6%,-$36.64,-$36.64,0,100.00%,,,,
Sarah,811 South Fairview Road                                                                                                                                                    ,100.0%,150.0%,"-$1,200.00","-$1,200.00",1,100.00%,,,,
Karen,Glen Oaks ,88.9%,96.0%,"$1,064.69","$3,138.64",1,75.00%,,,,
Karen,Hilltop Townhomes ,74.5%,89.8%,"$3,012.94","$5,862.94",1,86.84%,,,,
Sam,Maple Manor Apartments                                                                                                                                             ,90.0%,93.3%,"$2,224.50","$3,251.43",0,72.22%,,,,
Karen,Normandy Apartments,95.5%,104.7%,-$748.98,-$748.98,0,66.67%,,,,
Karen,Oakwood Gardens ,86.0%,107.7%,"-$3,800.30","-$3,091.10",0,65.12%,,,,
Sarah,Pioneer Apartments ,100.0%,111.8%,"-$2,447.86","-$2,123.12",1,83.33%,,,,
,,86.8%,100.2%,-$331.65,"$7,791.92",5,75.81%,,,,
1/7/2026,,,,,,,,,,,
Sarah,,91.8%,81.8%,"$5,633.73","$9,585.97",3,84.18%,,,,
Karen,,84.3%,73.6%,"$32,324.99","$45,795.12",2,76.96%,,,,
Sam,,92.5%,48.1%,"$17,758.70","$21,149.28",0,72.97%,,,,
Sarah,1511 Sylvan Lane                                                                                                                                                ,75.0%,70.1%,$875.00,"$1,157.50",0,100.00%,,,,
Sarah,3909 North Oakland Gravel Road                                                                                                                                                    ,66.7%,100.0%,$0.00,$0.00,0,75.00%,,,,
Sarah,407 Pecan Street                                                                                                                                                  ,80.0%,75.2%,$725.00,"$2,461.25",1,75.00%,,,,
Sarah,801-803 Washington Avenue                                                                                                                                                      ,100.0%,93.5%,$97.46,$97.46,0,100.00%,,,,
Sarah,811 South Fairview Road                                                                                                                                                    ,100.0%,100.0%,$0.00,$0.00,1,100.00%,,,,
Karen,Glen Oaks ,88.9%,67.1%,"$9,556.55","$14,458.87",1,75.00%,,,,
Karen,Hilltop Townhomes ,72.5%,62.9%,"$13,169.76","$18,532.66",1,89.19%,,,,
Sam,Maple Manor Apartments                                                                                                                                             ,92.5%,48.1%,"$17,758.70","$21,149.28",0,72.97%,,,,
Karen,Normandy Apartments,100.0%,71.7%,"$4,568.52","$5,355.27",0,68.18%,,,,
Karen,Oakwood Gardens ,86.0%,90.1%,"$5,030.16","$7,448.32",0,69.77%,,,,
Sarah,Pioneer Apartments ,100.0%,78.8%,"$3,936.27","$5,869.76",1,83.33%,,,,
,,87.2%,73.6%,"$55,717.42","$76,530.37",5,77.31%,,,,
1/12/2026,,,,,,,,,,,
Sarah,,91.8%,79.3%,"$6,242.29","$10,633.97",3,86.22%,,,,
Karen,,84.7%,75.0%,"$30,382.44","$44,087.50",2,78.48%,,,,
Sam,,100.0%,77.8%,"$3,619.52","$4,176.27",0,68.18%,,,,
Sarah,1511 Sylvan Lane                                                                                                                                                ,75.0%,86.1%,$332.50,$332.50,0,100.00%,,,,
Sarah,3909 North Oakland Gravel Road                                                                                                                                                    ,66.7%,100.0%,$0.00,$0.00,0,75.00%,,,,
Sarah,407 Pecan Street                                                                                                                                                  ,80.0%,75.2%,$725.00,"$2,820.25",1,75.00%,,,,
Sarah,801-803 Washington Avenue                                                                                                                                                      ,100.0%,86.0%,$197.46,$197.46,0,100.00%,,,,
Sarah,811 South Fairview Road                                                                                                                                                    ,100.0%,100.0%,$0.00,$0.00,1,100.00%,,,,
Karen,Glen Oaks ,88.9%,57.5%,"$9,452.07","$14,854.39",1,78.13%,,,,
Karen,Hilltop Townhomes ,74.5%,69.8%,"$10,451.36","$15,992.26",1,89.47%,,,,
Karen,Maple Manor Apartments                                                                                                                                             ,92.5%,71.3%,"$9,056.60","$10,337.03",0,75.68%,,,,
Sam,Normandy Apartments,100.0%,77.8%,"$3,619.52","$4,176.27",0,68.18%,,,,
Karen,Oakwood Gardens ,86.0%,95.7%,"$1,422.41","$2,903.82",0,69.77%,,,,
Sarah,Pioneer Apartments ,100.0%,73.2%,"$4,987.33","$7,283.76",1,86.67%,,,,
,,87.6%,76.3%,"$40,244.25","$58,897.74",5,78.80%,,,,
1/19/2026,,,,,,,,,,,
Sarah,,91.8%,89.0%,"$2,290.59","$6,098.84",3,88.27%,,,,
Karen,,86.4%,84.9%,"$22,398.61","$35,232.72",2,78.96%,,,,
Sam,,0.0%,0.0%,$0.00,$0.00,0,0.00%,,,,
Sarah,1511 Sylvan Lane                                                                                                                                                ,75.0%,86.2%,$402.50,$402.50,0,100.00%,,,,
Sarah,3909 North Oakland Gravel Road                                                                                                                                                    ,66.7%,100.0%,$0.00,$0.00,0,75.00%,,,,
Sarah,407 Pecan Street                                                                                                                                                  ,80.0%,75.2%,$725.00,"$2,890.25",1,75.00%,,,,
Sarah,801-803 Washington Avenue                                                                                                                                                      ,100.0%,77.5%,$337.46,$337.46,0,100.00%,,,,
Sarah,811 South Fairview Road                                                                                                                                                    ,100.0%,100.0%,$0.00,$0.00,1,100.00%,,,,
Karen,Glen Oaks ,88.9%,70.4%,"$8,602.07","$14,541.89",1,84.38%,,,,
Karen,Hilltop Townhomes ,76.5%,82.8%,"$5,336.86","$10,182.21",1,89.74%,,,,
